,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device
0,1,1,3.6494358921051027,0.0875,2.8319895267486572,4.5210041999816895,0.001,192,0,cuda
1,1,2,2.2975085830688475,0.0975,2.4803507328033447,7.012779951095581,0.001,192,0,cuda
2,1,3,2.31240291595459,0.10875,2.467438220977783,9.486176490783691,0.001,192,0,cuda
3,1,4,2.2444378089904786,0.1125,2.4102725982666016,11.90246319770813,0.001,192,0,cuda
4,1,5,2.2029083251953123,0.1725,2.44161057472229,14.351516485214233,0.001,192,0,cuda
5,1,6,2.0820664501190187,0.19875,2.7122926712036133,17.070762395858765,0.001,192,0,cuda
6,1,7,2.113838472366333,0.1825,2.5349907875061035,19.612707138061523,0.001,192,0,cuda
7,1,8,2.0069755840301515,0.23375,2.435145616531372,22.05480718612671,0.001,192,0,cuda
8,1,9,1.9372771549224854,0.255,2.812800168991089,24.874063730239868,0.001,192,0,cuda
9,1,10,2.0142658519744874,0.25,2.7199087142944336,27.600428342819214,0.001,192,0,cuda
10,1,11,1.936370244026184,0.2775,2.4561965465545654,30.063917636871338,0.001,192,0,cuda
11,1,12,1.8345401334762572,0.28875,2.534949541091919,32.605292081832886,0.001,192,0,cuda
12,1,13,1.7487100219726563,0.3475,2.437732219696045,35.049479484558105,0.001,192,0,cuda
13,1,14,1.7489346933364869,0.33875,2.4967496395111084,37.56184434890747,0.001,192,0,cuda
14,1,15,1.6718930006027222,0.33875,2.509152889251709,40.07099723815918,0.001,192,0,cuda
15,1,16,1.6010624027252198,0.38,2.4787442684173584,42.56480383872986,0.001,192,0,cuda
16,1,17,1.6371065998077392,0.37,2.506807565689087,45.071611404418945,0.001,192,0,cuda
17,1,18,1.6265722227096557,0.36375,2.5340542793273926,47.60566568374634,0.001,192,0,cuda
18,1,19,1.5918675184249877,0.37,2.514277458190918,50.119943141937256,0.001,192,0,cuda
19,1,20,1.6016071510314942,0.38875,2.5089666843414307,52.644532442092896,0.001,192,0,cuda
